
FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm)
fish01,67.49,4857,242.85,20.0,20.0,21.49903053509705,17.111474041053413,9.2,285.30527114144854,65.73729532580616,5606,1151,474.8416265460545,266.91405922138426,853.8756857674388,20.80835491677989,0.6906756183171581
fish10,17.7,453,22.65,20.0,20.0,20.95304427169741,14.447462337109092,1.3333333333333333,249.05195297686765,58.97288251968873,5572,620,412.60721222873264,246.8635709474245,770.9107831761571,20.44814786044034,0.5048964112570715
fish11,13.0,6153,307.65,20.0,20.0,27.45768723548517,25.31559769674956,1.2,489.41979522184295,87.26272382896174,9212,109,430.7987156492445,253.3112921467993,868.3500077960439,26.712832980685764,0.7448542547994066
fish12,15.28,3294,164.7,20.0,20.0,18.996451980324316,12.8596894562015,17.733333333333334,193.49639742131205,53.366522589031234,2773,2640,418.0369126790176,259.3288248377376,732.8257375167552,18.82326492608762,0.17318705423669556
fish15,9.61,3859,192.95,20.0,20.0,20.849409826725488,4.630692731426917,2.1333333333333333,86.80318543799771,47.72714562867079,1059,275,441.3615364455989,267.70137695133434,730.2429133969332,20.03411102294922,0.815298803776269
fish2,16.0,4996,249.8,20.0,20.0,25.21951067530112,17.401367904306664,28.266666666666666,303.4129692832764,70.21767753812235,3252,190,469.7318749076936,257.92187173706685,792.6937466447604,24.59605212089343,0.6234585544076907
fish3,81.9,313,15.65,20.0,20.0,20.73724441603075,18.0840071048802,13.066666666666666,319.15054986727336,67.03403166743904,7375,3163,470.1339970106149,265.9345051438649,883.5685021544798,19.76003232209579,0.9772120939349627
fish4,61.25,1041,52.05,20.0,20.0,24.147191163928756,16.357774659435606,23.73333333333333,338.073568448995,70.94379035783372,5637,17691,452.5651212473928,265.59063476536016,830.8957560127529,25.082699245876736,0.9355080819479795
fish5,27.36,3957,197.85,20.0,20.0,23.91205920690626,7.709755529201338,35.46666666666667,155.85893060295788,55.77790622801212,3635,4879,443.7877776631674,251.4521516921892,767.9399293553566,23.4393935785061,0.47266562840016135
fish8,12.7,3810,190.5,20.0,20.0,27.607967134973524,7.680957948462014,2.4,154.62646947288582,62.8478021851705,1451,221,444.5323046305149,263.2334049254947,736.7857095560096,26.682296752929688,0.9256703820438368
fish9,14.0,299,14.95,20.0,20.0,26.35822968512068,11.671252536777612,39.86666666666667,202.8062191884717,65.1944114406887,1295,3218,422.4040818805271,234.2847720024956,682.5888538830227,25.881115383572048,0.47711430154863166
