FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,67.49,0,0.0,20.0,20.0,18.110393372946564,16.552510072047937,12.8,263.7846037163443,62.45718246249997,3608,8838,465.9880068757047,265.00623695475275,803.1542438304574
fish01,67.49,1,0.05,20.0,20.0,17.915657960334237,16.552510072047937,12.8,266.2495259764884,63.00915180939795,3627,8892,464.9561491509144,266.5584049235026,804.054554074417
fish01,67.49,2,0.1,20.0,20.0,17.915657960334237,16.552510072047937,12.8,266.83731513083046,63.129963514309786,3635,9005,463.75754212932816,266.5612727686459,803.0188148979742
fish01,67.49,3,0.15,20.0,20.0,17.915657960334237,16.357774659435606,12.8,266.87523701175576,63.200579606365366,3679,9076,462.2009275848765,266.5618847478125,802.342812332689
fish01,67.49,4,0.2,20.0,20.0,17.915657960334237,16.357774659435606,12.8,266.51497914296544,63.145914875069614,3689,9145,461.4768174084134,266.5651399561458,801.8219573645592
fish01,67.49,5,0.25,20.0,20.0,18.75683762629978,15.869679214459731,12.8,268.9419795221843,63.545306991872906,3780,9230,461.22112255857496,266.56431638755794,803.3854389461329
fish01,67.49,6,0.3,20.0,20.0,18.499864198171224,15.96830383421095,12.8,268.2593856655289,63.3778464431612,3797,9268,461.1440127671797,266.570507793808,803.6545205609877
fish01,67.49,7,0.35,20.0,20.0,18.694599610783552,15.96830383421095,12.8,273.3219567690557,63.86809698490996,3811,9203,461.41770649956607,266.575722637558,804.2134291371241
fish01,67.49,8,0.4,20.0,20.0,18.698706122322708,15.753417692218884,12.8,267.02692453545694,63.837783024827694,3542,9272,461.063561073567,266.5798827955458,798.4834438691129
fish01,67.49,9,0.45,20.0,20.0,18.70928737238852,16.064182855798506,12.8,270.5915813424345,64.06878049711545,3554,9308,460.39589186800737,266.58324217054576,798.0591340385532
fish01,67.49,10,0.5,20.0,20.0,18.110393372946564,16.552510072047937,12.933333333333334,270.7243079256731,64.22983882868058,3604,9355,460.00376480999233,266.59230467054573,798.6760694805381
fish01,67.49,11,0.55,20.0,20.0,18.499864198171224,16.357774659435606,27.6,271.44482366325366,64.04806171454422,3616,9500,457.16860458033057,266.57944659762904,796.0680511779597
fish01,67.49,12,0.6,20.0,20.0,17.915657960334237,16.552510072047937,27.73333333333333,270.7622298065984,63.68455639873877,3514,9533,457.65165108083073,266.5903775872124,794.522028668043
fish01,67.49,13,0.65,20.0,20.0,18.110393372946564,16.552510072047937,28.0,272.05157375805834,63.565244939252096,3497,9606,457.41296633564514,266.5956249794854,793.9485913151307
fish01,67.49,14,0.7,20.0,20.0,18.694599610783552,16.747245484660265,28.266666666666666,279.35153583617745,64.1598765201163,3729,9598,457.036278007884,266.8645507607354,798.4808287686195
fish01,67.49,15,0.75,20.0,20.0,18.694599610783552,16.747245484660265,12.933333333333334,281.20970800151684,64.41371007891632,3629,9605,457.12364828059816,266.8460676878188,796.549715968417
fish01,67.49,16,0.8,20.0,20.0,18.694599610783552,16.552510072047937,12.933333333333334,278.6120591581342,64.18678311283466,3624,9655,457.2926587682465,266.8448111670176,796.6174699352641
fish01,67.49,17,0.85,20.0,20.0,18.694599610783552,16.357774659435606,12.933333333333334,275.38869927948423,64.0171940709037,3581,9667,457.1551848099133,266.857617156601,795.6328019665142
fish01,67.49,18,0.9,20.0,20.0,18.499864198171224,15.96830383421095,12.933333333333334,270.0227531285551,63.608614395959606,3521,9697,456.77761557027554,266.84319007326764,794.0408056435432
fish01,67.49,19,0.95,20.0,20.0,18.694599610783552,16.163039246823278,12.933333333333334,273.83390216154714,64.09476643509244,3449,9654,456.1475899590199,266.8502213232676,791.9778112822875
fish01,67.49,20,1.0,20.0,20.0,19.278805848620536,16.163039246823278,12.933333333333334,272.12741751990893,63.86789446361684,3419,9660,455.89393136325407,266.8586523128509,791.1325836761049
fish01,67.49,21,1.05,20.0,20.0,19.278805848620536,16.163039246823278,12.933333333333334,272.01365187713304,64.02614238277594,3465,9693,455.888610431059,266.853613250351,792.04222368141
fish01,67.49,22,1.1,20.0,20.0,19.278805848620536,16.163039246823278,12.933333333333334,274.7440273037542,64.21043889522726,3495,9724,455.9950382862044,266.8538606461844,792.7488989323887
fish01,67.49,23,1.15,20.0,20.0,19.084070436008208,16.163039246823278,12.933333333333334,272.7910504361016,64.03375081340148,3365,9813,455.6816873453588,266.856152312851,789.8378396582098
fish01,67.49,24,1.2,20.0,20.0,18.88933502339588,15.96830383421095,12.933333333333334,269.3211983314372,63.69191142239095,3220,9837,455.79643953721774,266.85676429642564,787.0532038336434
fish01,67.49,25,1.25,20.0,20.0,19.863012086457523,16.163039246823278,12.933333333333334,276.0333712552142,64.19877068338845,3408,9856,456.00824952511255,266.8622004943423,791.0304500194549
fish01,67.49,26,1.3,20.0,20.0,20.44721832429451,15.773568421598622,12.933333333333334,276.5453166477057,64.51969399374543,3470,9883,455.9229891483824,266.85992835892563,792.1829175073079
fish01,67.49,27,1.35,20.0,20.0,20.64195373690684,15.384097596373964,12.933333333333334,270.9897610921501,64.31152058297798,3274,9853,455.871683031247,266.85246091100896,788.204143942256
fish01,67.49,28,1.4,20.0,20.0,20.64195373690684,15.773568421598622,12.8,272.6962457337884,64.36084046070567,3229,9749,456.0433629389821,266.85587887975896,787.4792418187411
fish01,67.49,29,1.45,20.0,20.0,20.64195373690684,16.357774659435606,12.8,276.7538869927948,64.33945791250694,3436,9832,455.8239835755902,266.8581379943424,791.4021215699327
fish01,67.49,30,1.5,20.0,20.0,20.836689149519167,15.96830383421095,12.8,271.5775502464922,63.91175543606704,3229,9870,450.2000992092368,266.8629622130924,781.6430614223292
fish01,67.49,31,1.55,20.0,20.0,20.836689149519167,15.189362183761634,12.8,261.9264315510049,63.17051192647552,3163,9897,450.4720046248072,266.86005205684233,780.5920566816494
fish01,67.49,32,1.6,20.0,20.0,20.836689149519167,15.578833008986292,12.8,261.28175957527486,62.94264654673578,3277,9873,450.5761278064115,266.87503577973047,782.991163586142
fish01,67.49,33,1.65,20.0,20.0,20.836689149519167,15.384097596373964,12.8,263.9931740614334,63.286214449090245,3510,10060,450.5128032090929,266.8719954172664,787.5847986263593
fish01,67.49,49,2.45,20.0,20.0,23.592899763226693,12.029458011484891,38.8,234.3382631778536,62.855936117230286,2936,11091,459.3159015238444,262.08599607505795,780.1218975989024
fish01,67.49,50,2.5,20.0,20.0,23.817817441366515,11.687738011465925,13.733333333333333,224.4785741372772,61.75170434327322,2973,10542,475.2002340853469,260.96553059886304,795.62576468421
fish01,67.49,51,2.55,20.0,20.0,23.928140567579145,11.479094836726947,13.733333333333333,222.7910504361016,61.61812485940085,2998,10542,474.0481549524189,262.10767903636304,796.115833988782
fish01,67.49,52,2.6,20.0,20.0,23.960723745786545,11.183281148861624,13.733333333333333,222.37390974592336,61.92921820311811,2996,10512,472.7316273720636,262.241682942613,794.8933103146766
fish01,67.49,53,2.65,20.0,20.0,24.10564616314385,11.13497318117142,13.733333333333333,222.1843003412969,61.81889092155112,2998,10454,472.32537726084377,262.23810546875,794.5234827295938
fish01,67.49,54,2.7,20.0,20.0,24.2747247929162,10.965894551399076,13.733333333333333,221.4069017823284,61.91228729301344,2999,10392,471.4874607218236,265.3796223956638,796.8470831174874
fish01,67.49,55,2.75,20.0,20.0,24.331753897630584,10.814605852585442,13.733333333333333,218.8850967007963,61.82020860995553,2947,10192,470.7175345828962,265.42993489430745,795.0874694772037
fish01,67.49,56,2.8,20.0,20.0,24.71078907269206,10.895961283886804,13.733333333333333,222.16533940083423,61.84527746818873,2949,10007,470.2199781285981,265.44440755055746,794.6443856791556
fish01,67.49,57,2.85,20.0,20.0,24.75472755759041,11.015260346953198,13.733333333333333,224.64922260144093,61.926384971084495,2956,9868,470.3524174818063,265.59939127594635,795.0718087577526
fish01,67.49,58,2.9,20.0,20.0,24.72469386339212,10.934674515137106,13.733333333333333,221.52066742510425,61.845540184084456,2951,9687,469.94332463100113,265.600472001383,794.5637966323841
fish01,67.49,59,2.95,20.0,20.0,24.68242234880742,10.841032234910694,14.0,218.97990140310955,61.64885957813027,2880,9395,469.5152126283812,265.7322005201552,792.8474131485365
fish01,67.49,60,3.0,20.0,20.0,24.77207623170139,11.185664232982033,14.0,225.5024649222601,61.8952289597797,2898,9322,469.0496179684485,265.73488281182176,792.7445007802703
fish01,67.49,61,3.05,20.0,20.0,24.867155939537835,11.185664232982033,14.133333333333333,226.05233219567685,62.15584073726053,2904,9042,468.969674389479,265.7414680984392,792.7911424879181
fish01,67.49,62,3.1,20.0,20.0,24.817855515368564,11.068735625473062,14.133333333333333,224.15623814941216,62.05900008774472,2828,8869,468.8154817052582,265.74114257760584,791.116624282864
fish01,67.49,63,3.15,20.0,20.0,24.91011682509004,10.967676664492862,14.133333333333333,222.7531285551763,62.0016007386351,2787,8674,468.74797742686326,265.7505598951552,790.2385373220185
fish01,67.49,64,3.2,20.0,20.0,24.89680929113337,10.723809456169905,14.266666666666666,219.6435343193022,62.19581341231134,2797,8597,468.5403211786718,265.7587239576552,790.2390451363269
fish01,67.49,138,6.9,20.0,20.0,16.755347079241677,9.073964216778146,12.533333333333331,111.60409556313992,40.86351438177075,2865,7645,454.6052690911188,266.0440982838843,777.949367375003
fish01,67.49,150,7.5,20.0,20.0,17.13671630988492,8.957828980167118,12.266666666666666,109.7838452787258,41.886927507996006,2749,9337,462.63735199532215,262.92359698739585,780.540948982718
fish01,67.49,151,7.55,20.0,20.0,17.13671630988492,8.76309356755479,12.266666666666666,108.41865756541524,41.57741916500436,2682,9337,461.9543311619889,263.8904850082292,779.4848161702181
fish01,67.49,152,7.6,20.0,20.0,16.747245484660265,8.957828980167118,12.266666666666666,108.323852863102,41.27708096945087,2635,9349,461.3192269953222,263.9922688623958,778.011495857718
fish01,67.49,153,7.65,20.0,20.0,16.747245484660265,8.957828980167118,12.266666666666666,108.5703450891164,41.195460593683855,2596,9366,461.15079819848336,263.9864290186459,777.0572272171293
fish01,67.49,232,11.6,20.0,20.0,24.968633128809746,11.5104211014893,12.8,239.3439514599924,65.01923017392654,3284,5543,449.3318055536718,265.5978483034664,780.6096538571383
