FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,67.49,100,5.0,20.0,20.0,15.813993194561336,7.718969923038479,12.0,100.62571103526733,39.833680861625346,2479,3217,468.39872321980783,265.62691078388434,783.6056340036922
fish01,67.49,105,5.25,20.0,20.0,16.470942926602458,8.14479838108893,12.133333333333333,103.96283655669319,40.671000180172804,2611,3585,463.96830238758594,265.940003231801,782.128305619387
fish01,67.49,110,5.5,20.0,20.0,14.994626771149306,9.347299805391776,12.266666666666666,99.99999999999999,39.58318200952355,2509,4399,448.0160980450478,265.9501269297175,764.1462249747652
fish01,67.49,115,5.75,20.0,20.0,13.826214295475335,10.515712281065747,12.133333333333333,103.20439893818731,40.30214190901901,2575,5108,447.50067708325804,265.5873925547175,764.5880696379755
fish01,67.49,120,6.0,20.0,20.0,16.489625771249678,9.329655474335684,12.266666666666666,109.7838452787258,41.109603706464625,2728,5654,446.9965277608237,265.5893066172176,767.1458343780412
fish01,67.49,125,6.25,20.0,20.0,17.06144710308434,8.424279622735025,12.8,106.21918847174818,40.75750660267189,2632,6461,446.24627603978286,265.66007484638425,764.546350886167
fish01,67.49,130,6.5,20.0,20.0,16.78699722950169,7.99495825273502,12.8,100.72051573758057,40.013865755398065,2550,7084,454.3545876636457,265.6617219818009,771.0163096454467
fish01,67.49,135,6.75,20.0,20.0,16.633208075217578,8.656057582000772,12.8,110.29579067121728,40.89538439438371,2796,7573,454.4528255003188,265.6719628672176,776.0447883675364
fish01,67.49,140,7.0,20.0,20.0,16.49601730983197,8.646188731458494,12.533333333333333,107.41372772089494,40.71090353741283,2775,7854,453.82409720526806,266.0402506276343,775.3643478329024
fish01,67.49,145,7.25,20.0,20.0,17.10218387583838,8.81271862007837,12.533333333333333,109.4615092908608,41.195431181203524,2715,8386,454.4968880071004,266.03921547138424,774.8361034784846
fish01,67.49,150,7.5,20.0,20.0,17.13671630988492,8.957828980167118,12.266666666666666,109.7838452787258,41.886927507996006,2749,9337,462.63735199532215,262.92359698739585,780.540948982718
fish01,67.49,155,7.75,20.0,20.0,16.747245484660265,8.76309356755479,12.266666666666666,108.94956389836933,41.44698765224082,2694,9330,459.0846133820523,261.7897688623959,774.7543822444482
fish01,67.49,160,8.0,20.0,20.0,16.03782035914481,9.786792368588983,12.266666666666666,114.08797876374666,41.18874581960347,2723,9223,457.11357182479657,261.78803058114585,773.3616024059424
fish01,67.49,165,8.25,20.0,20.0,15.035971200639784,9.975320471067231,12.4,105.70724307925671,40.91344138230666,2715,8945,456.3287758053627,261.79211261239584,772.4208884177585
fish01,67.49,170,8.5,20.0,20.0,16.226091433223537,8.581029803610145,12.4,102.0667425104285,40.24468598673294,2644,8193,455.78364993306855,261.8009993311458,770.4646492642144
fish01,67.49,1715,85.75,20.0,20.0,17.114974381569425,7.232095734388649,10.4,82.97307546454303,40.017972058008795,1592,2167,457.0308159574533,271.68827797138425,760.5590939288376
fish01,67.49,1720,86.0,20.0,20.0,17.26274936844742,6.377929448537514,9.733333333333333,76.14713689799012,39.60575192121384,1519,1637,456.9313411449104,271.6997493255509,759.0110904704612
fish01,67.49,1725,86.25,20.0,20.0,17.08771599980064,4.921431594115008,8.666666666666666,65.56693211983313,38.24070856455242,1449,1309,457.0491926913791,271.69242510680095,757.7216177981801
fish01,67.49,1730,86.5,20.0,20.0,16.9673910517061,6.537498770384251,6.4,74.87675388699279,38.78363683535448,1507,841,456.97277330772494,271.69938474221755,758.8121580499425
fish01,67.49,1735,86.75,20.0,20.0,17.24964537721176,7.3339131520044285,4.133333333333333,80.86841107318922,39.66056847383661,1502,509,465.7446830037247,271.70246416930087,767.4871471730255
fish01,67.49,1740,87.0,20.0,20.0,16.802601676207832,4.900084494106866,3.3333333333333335,63.253697383390204,38.19882171042473,1402,371,465.48048150406817,272.0492154713842,765.5696969754523
fish01,67.49,1745,87.25,20.0,20.0,17.44679061678375,5.893045001414028,3.466666666666667,69.26431551004929,38.94763430245383,1471,396,465.35660141991525,272.2580761484675,767.0346775683828
fish01,67.49,1750,87.5,20.0,20.0,17.465009918883858,6.395502465355587,4.133333333333333,72.18430034129692,39.41834211977335,1476,483,471.9188063666261,272.0645670204056,773.5033733870316
fish01,67.49,1755,87.75,20.0,20.0,18.310698724690695,5.025658095833807,4.533333333333333,65.24459613196814,39.847839430727106,1506,651,471.772070310974,269.065595666239,770.957665977213
fish01,67.49,1760,88.0,20.0,20.0,18.06158323416366,5.245148091889536,4.8,73.32195676905573,40.25260646357835,1586,835,471.5349001505345,268.97500321832234,772.2299033688569
fish01,67.49,1765,88.25,20.0,20.0,18.510773790874563,5.247687918762253,5.066666666666666,68.82821387940841,40.123562490958214,1539,975,471.259348620078,269.075224572489,771.1145731925669
fish01,67.49,1770,88.5,20.0,20.0,18.451715201803268,6.341680272782036,4.266666666666667,76.45051194539248,40.78792207875769,1614,947,467.50681367880736,269.0883170204056,768.875130699213
fish01,67.49,1775,88.75,20.0,20.0,18.36664028727532,5.554092885258104,8.133333333333333,74.51649601820249,40.53227729616907,1568,1209,467.16643173436296,269.09499670790564,767.6214284422687
fish01,67.49,1780,89.0,20.0,20.0,18.61240400861555,5.053983219746267,5.066666666666666,71.74819871065604,40.4291255919457,1556,1267,466.93010850466493,272.554599572489,770.604708077154
fish01,67.49,1785,89.25,20.0,20.0,18.289479767453994,5.54226623602526,7.066666666666666,70.49677664012134,40.079740820267446,1560,2146,466.8974086384904,272.67489905165564,770.7723076901461
fish01,67.49,1790,89.5,20.0,20.0,18.093181384458454,5.7099178381806155,8.4,68.5058778915434,40.08396235851538,1578,3174,471.5115449025849,272.685009728739,775.7565546313238
fish01,67.49,1795,89.75,20.0,20.0,18.375636281258533,4.789857567829901,9.733333333333333,69.45392491467575,40.66864783174613,1635,4078,471.7041924279484,272.33537431207236,776.7395667400208
fish01,67.49,1800,90.0,20.0,20.0,17.708279127606772,4.803642387181633,10.533333333333333,61.831626848691684,38.90291632879111,1592,5075,467.8453689204274,272.1333690958553,771.8187380162827
fish01,67.49,1805,90.25,20.0,20.0,18.00588681427222,5.671093178433412,10.933333333333334,80.52711414486157,41.117958754447955,1754,5218,467.4660112616456,272.1431151896052,774.6891264512509
fish01,67.49,1810,90.5,20.0,20.0,18.289484224593867,5.111201752905388,11.2,78.30868411073187,41.10790145046029,1731,5415,467.1108419866868,272.15995763752187,773.8907996242086
fish01,67.49,1815,90.75,20.0,20.0,17.777806052533677,5.196589410081307,11.066666666666666,71.99469093667045,39.62757507626072,1589,5432,465.4189062372655,268.5448404500219,765.7437466872874
fish01,67.49,1820,91.0,20.0,20.0,16.88173522328097,5.48234333324633,11.2,74.06143344709896,38.133371698842495,1537,5909,465.3763107048129,268.5619237833553,764.6782344881683
fish01,67.49,1825,91.25,20.0,20.0,17.17289639997232,6.07627839314782,11.6,74.36480849450132,39.14631275171465,1522,5986,465.79976128425125,268.68353836668865,764.92329965094
fish01,67.49,2330,116.5,20.0,20.0,12.876099159511918,4.640254039317745,9.066666666666666,49.12779673871823,30.348922026741672,1285,3343,447.95489957002246,266.8801953063965,740.535094876419
fish01,67.49,2335,116.75,20.0,20.0,8.985551647339662,4.755340733772925,8.666666666666666,35.437997724687136,24.360814797836653,850,3291,457.1931331361369,267.0318033771091,741.224936513246
fish01,67.49,2340,117.0,20.0,20.0,16.977560759190013,5.623816667196201,8.8,78.59309821767158,38.74941011003204,1063,3306,456.9613275676961,266.98390298588015,745.2052305535763
